gene_id,symbol,gene_name,gene_biotype,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSG00000180694,TMEM64,TMEM64,protein_coding,822.3895524099612,0.5937989161544037,0.17401073138750642,1.0174813092169122e-4,7.475544494990372e-4
ENSG00000126062,TMEM115,TMEM115,protein_coding,1003.2843978541749,0.35124941196655635,0.09531503317785647,1.0219096982607915e-4,7.504204206536655e-4
ENSG00000117519,CNN3,CNN3,protein_coding,6467.716493709102,0.4117863096993848,0.1139609588623149,1.0224711687618133e-4,7.504452995081544e-4
ENSG00000089123,TASP1,TASP1,protein_coding,135.55155565275874,0.6181609360161607,0.18130395101144278,1.0281797877500845e-4,7.542459670426613e-4
ENSG00000157224,CLDN12,CLDN12,protein_coding,672.2517473521377,0.3695776016583669,0.10089245611896533,1.03088715988586e-4,7.558422145472408e-4
ENSG00000111206,FOXM1,FOXM1,protein_coding,145.62603838924574,-0.6005555094940219,0.17487836212743976,1.0369444990458985e-4,7.598211321443178e-4
ENSG00000138802,SEC24B,SEC24B,protein_coding,1238.2399115864011,0.44334487907234477,0.12401611272568176,1.0373823387403438e-4,7.598211321443178e-4
ENSG00000105997,HOXA3,HOXA3,protein_coding,127.22714439707198,-0.6716758020992749,0.19999676082278087,1.0649175234140706e-4,7.795875889367854e-4
ENSG00000134324,LPIN1,LPIN1,protein_coding,4607.291905512615,0.5282775181572916,0.15364198084338512,1.0725668348266126e-4,7.847834700912417e-4
ENSG00000135956,TMEM127,TMEM127,protein_coding,2384.3928425480235,0.31235725794133706,0.08472836276269698,1.0731260830968056e-4,7.847889668878644e-4
ENSG00000134986,NREP,NREP,protein_coding,580.4420969974135,-0.5374177212752782,0.15568078082676298,1.0743749203285576e-4,7.852985029164133e-4
ENSG00000204386,NEU1,NEU1,protein_coding,949.2190481147732,-0.3923218510632112,0.10829076749442561,1.0767016527430045e-4,7.865949824661786e-4
ENSG00000096654,ZNF184,ZNF184,protein_coding,157.95419595431332,-0.5828823636373978,0.16915012999732368,1.0813576833439498e-4,7.89590949070038e-4
ENSG00000165197,FIGF,FIGF,protein_coding,190.83927105505978,-0.7682461373462723,0.2364032182034002,1.0833132471742259e-4,7.906130132276136e-4
ENSG00000131732,ZCCHC9,ZCCHC9,protein_coding,601.1382267644047,-0.3890215576766681,0.10721932800532626,1.085914386439128e-4,7.921049350107773e-4
ENSG00000168952,STXBP6,STXBP6,protein_coding,140.85420670916199,0.6669177714940225,0.19863639445975742,1.1084496308027894e-4,8.081285263218286e-4
ENSG00000173320,STOX2,STOX2,protein_coding,82.08893554310754,-0.8999220974683434,0.28324688896635436,1.1126931743645868e-4,8.108067475492768e-4
ENSG00000121361,KCNJ8,KCNJ8,protein_coding,169.75584473275487,0.665751767076362,0.19927508603262362,1.1177683913532847e-4,8.140879466773744e-4
ENSG00000135241,PNPLA8,PNPLA8,protein_coding,953.5873085491992,0.4708514183510065,0.13380594867497334,1.1309175340915546e-4,8.228220462873797e-4
ENSG00000148344,PTGES,PTGES,protein_coding,106.30015616035597,-0.7901794295177733,0.2426290853035122,1.1303560526230354e-4,8.228220462873797e-4
ENSG00000064601,CTSA,CTSA,protein_coding,7114.528374227269,-0.27304192298446095,0.07327592082390288,1.1418945940423664e-4,8.299595659508748e-4
ENSG00000231312,AC007246.3,AC007246.3,antisense,297.7584756217807,0.47100815296715615,0.13355129566595142,1.1413439668329613e-4,8.299595659508748e-4
ENSG00000183578,TNFAIP8L3,TNFAIP8L3,protein_coding,570.4628423052384,0.38826984652835544,0.10736050701803072,1.14273101649183e-4,8.301433084055052e-4
ENSG00000073756,PTGS2,PTGS2,protein_coding,72.00481650738398,-1.1752285561247626,0.3961966094321227,1.144589965446923e-4,8.310693041611554e-4
ENSG00000101974,ATP11C,ATP11C,protein_coding,1380.9586982653452,0.33379731646818434,0.09075233094728194,1.1509778446508057e-4,8.352810644037276e-4
ENSG00000140743,CDR2,CDR2,protein_coding,794.994125397022,0.42040127112156067,0.11798147936277424,1.1584453682605234e-4,8.402716429442981e-4
ENSG00000097033,SH3GLB1,SH3GLB1,protein_coding,3251.676397839973,0.3705588307997397,0.1022508197951501,1.1620424132786125e-4,8.42021970783239e-4
ENSG00000176371,ZSCAN2,ZSCAN2,protein_coding,115.11473156720912,-0.6469857023259551,0.19216147216857135,1.1614938770733599e-4,8.42021970783239e-4
ENSG00000105402,NAPA,NAPA,protein_coding,1682.364971134784,0.3213803671694082,0.08710252706740867,1.164513728253264e-4,8.433830585883109e-4
ENSG00000101335,MYL9,MYL9,protein_coding,6385.434408582935,0.3940092651862956,0.10947876861817817,1.166309842218007e-4,8.442540048706835e-4
ENSG00000093072,CECR1,CECR1,protein_coding,614.5562377473615,-0.41965281497789847,0.11738220798910629,1.1675039902653655e-4,8.44688543109591e-4
ENSG00000169032,MAP2K1,MAP2K1,protein_coding,1074.9661248599234,0.4162726928009947,0.11704590536528754,1.1722774747211823e-4,8.477109710439296e-4
ENSG00000095951,HIVEP1,HIVEP1,protein_coding,472.87730650537213,-0.48099772562162474,0.1369943009608343,1.1760866755060227e-4,8.50033377662483e-4
ENSG00000222009,BTBD19,BTBD19,protein_coding,311.14227104955194,-0.6170833141464644,0.1844050511406102,1.1789414260680334e-4,8.516639331839364e-4
ENSG00000071205,ARHGAP10,ARHGAP10,protein_coding,895.5249949351908,0.4145879449599758,0.11591664266268717,1.1805178138508878e-4,8.523698164576156e-4
ENSG00000203722,RAET1G,RAET1G,protein_coding,56.885310791634986,-0.92683542356566,0.2917058053078954,1.1874395572609311e-4,8.569325348797303e-4
ENSG00000073169,SELO,SELO,protein_coding,392.13571568799387,0.42461045790108115,0.11950531948141253,1.1963158826011044e-4,8.624631076593061e-4
ENSG00000269378,ITGB1P1,ITGB1P1,pseudogene,8923.128357198635,0.2872637743440621,0.07737610763186971,1.196144726418897e-4,8.624631076593061e-4
ENSG00000161091,MFSD12,MFSD12,protein_coding,718.1457823664224,0.4297992985308681,0.12092463336632824,1.2058115437405518e-4,8.688684598868089e-4
ENSG00000136868,SLC31A1,SLC31A1,protein_coding,1060.1447249397584,0.3788059115598943,0.10492923635760316,1.2077912456557079e-4,8.69854312820597e-4
ENSG00000064933,PMS1,PMS1,protein_coding,430.01381772293087,0.4789832253978887,0.13672752763142146,1.2140648959592784e-4,8.7393011539093e-4
